	name	rarity	wins	losses	W/L	Games	AdjustedGames	WARC
74	Evolution Sage	uncommon	1820	1722	0.5138339920948617	3542	9445.333333333332	1075.2
30	Burning Prophet	common	3928	3205	0.5506799383148745	7133	7133.0	1074.7999999999997
121	Karn's Bastion	rare	625	606	0.5077173030056864	1231	9848.0	1060.7999999999995
225	Thunder Drake	common	4183	3647	0.5342273307790549	7830	7830.0	1051.0
99	Grateful Apparition	uncommon	1509	1291	0.5389285714285714	2800	7466.666666666666	1037.333333333333
227	Tibalt's Rager	uncommon	1412	1159	0.5492026448852586	2571	6856.0	1022.9333333333328
231	Toll of the Invasion	common	3894	3294	0.5417362270450752	7188	7188.0	1018.8000000000002
150	Mowu, Loyal Companion	uncommon	1906	1911	0.4993450353680901	3817	10178.666666666666	1011.1999999999996
58	Domri, Anarch of Bolas	rare	536	490	0.5224171539961013	1026	8208.0	1004.7999999999996
90	Gideon's Triumph	uncommon	1438	1215	0.5420278929513758	2653	7074.666666666666	1004.7999999999995
42	Commence the Endgame	rare	547	509	0.5179924242424242	1056	8448.0	996.7999999999995
83	Flux Channeler	uncommon	1628	1509	0.5189671660822441	3137	8365.333333333332	995.1999999999992
73	Eternal Taskmaster	uncommon	1448	1247	0.537291280148423	2695	7186.666666666666	986.6666666666662
205	Spark Double	rare	697	738	0.4857142857142857	1435	11480.0	983.9999999999997
163	No Escape	common	3961	3496	0.5311787582137589	7457	7457.0	978.2000000000002
60	Dovin, Hand of Control	uncommon	1581	1459	0.5200657894736842	3040	8106.666666666666	973.333333333333
203	Sorin, Vengeful Bloodlord	rare	518	473	0.5227043390514632	991	7928.0	972.8
