	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
214	Sphinx of the Guildpact	uncommon	375	395	770	0.487012987012987	2053.333333333333	178.66666666666657
245	Undercity Scavenger	common	771	714	1485	0.5191919191919192	1485.0	176.99999999999997
198	Silhana Wayfinder	uncommon	333	334	667	0.4992503748125937	1778.6666666666665	176.5333333333333
48	Concordia Pegasus	common	670	573	1243	0.5390185036202735	1243.0	172.7999999999999
84	Gate Colossus	uncommon	334	340	674	0.49554896142433236	1797.3333333333333	171.73333333333332
58	Depose // Deploy	uncommon	284	266	550	0.5163636363636364	1466.6666666666665	170.6666666666666
7	Archway Angel	uncommon	265	238	503	0.5268389662027833	1341.3333333333333	170.13333333333324
181	Rumbling Ruin	uncommon	264	238	502	0.5258964143426295	1338.6666666666665	168.53333333333325
88	Gateway Sneak	uncommon	310	313	623	0.49759229534510435	1661.3333333333333	162.13333333333333
94	Godless Shrine	rare	92	88	180	0.5111111111111111	1440.0	159.99999999999991
242	Trollbred Guardian	uncommon	260	243	503	0.5168986083499006	1341.3333333333333	156.80000000000004
53	Cult Guildmage	uncommon	259	242	501	0.5169660678642715	1336.0	156.26666666666665
145	Orzhov Locket	common	598	509	1107	0.5401987353206865	1107.0	155.19999999999996
127	Knight of the Last Breath	uncommon	235	209	444	0.5292792792792793	1184.0	153.0666666666667
87	Gateway Plaza	common	674	638	1312	0.5137195121951219	1312.0	149.1999999999999
248	Vindictive Vampire	uncommon	206	171	377	0.5464190981432361	1005.3333333333333	147.19999999999996
66	End-Raze Forerunners	rare	94	95	189	0.4973544973544973	1512.0	147.19999999999993
35	Carrion Imp	common	641	597	1238	0.5177705977382876	1238.0	145.8
78	Footlight Fiend	common	614	562	1176	0.5221088435374149	1176.0	143.59999999999994
83	Galloping Lizrog	uncommon	255	248	503	0.5069582504970179	1341.3333333333333	143.46666666666667
116	Impassioned Orator	common	636	596	1232	0.5162337662337663	1232.0	143.20000000000002
179	Rubblebelt Recluse	common	603	547	1150	0.5243478260869565	1150.0	142.99999999999997
196	Sharktocrab	uncommon	215	193	408	0.5269607843137255	1088.0	138.13333333333333
182	Sage's Row Savant	common	689	699	1388	0.49639769452449567	1388.0	133.79999999999995
32	Burning-Tree Vandal	common	646	637	1283	0.5035074045206547	1283.0	132.79999999999993
165	Rakdos Trumpeter	common	540	480	1020	0.5294117647058824	1020.0	131.99999999999997
111	High Alert	uncommon	205	185	390	0.5256410256410257	1040.0	130.66666666666666
146	Orzhov Racketeers	uncommon	182	153	335	0.5432835820895522	893.3333333333333	127.99999999999993
191	Senate Courier	common	606	589	1195	0.507112970711297	1195.0	127.99999999999991
180	Rubblebelt Runner	common	513	451	964	0.5321576763485477	964.0	127.39999999999998
29	Breeding Pool	rare	49	34	83	0.5903614457831325	664.0	126.39999999999999
254	Windstorm Drake	uncommon	292	321	613	0.4763458401305057	1634.6666666666665	124.79999999999991
161	Rakdos Firewheeler	uncommon	199	182	381	0.5223097112860893	1016.0	124.26666666666668
42	Clan Guildmage	uncommon	181	155	336	0.5386904761904762	896.0	124.26666666666662
129	Lawmage's Binding	common	590	582	1172	0.5034129692832765	1172.0	121.20000000000003
81	Frenzied Arynx	common	498	445	943	0.528101802757158	943.0	120.79999999999998
140	Nikya of the Old Ways	rare	97	108	205	0.47317073170731705	1640.0	119.99999999999993
61	Dovin's Acuity	uncommon	260	278	538	0.483271375464684	1434.6666666666665	119.46666666666663
22	Biogenic Upgrade	uncommon	203	193	396	0.5126262626262627	1056.0	118.93333333333334
203	Skatewing Spy	uncommon	285	316	601	0.47420965058236275	1602.6666666666665	118.93333333333332
224	Sunder Shaman	uncommon	169	146	315	0.5365079365079365	840.0	114.66666666666663
207	Slimebind	common	555	546	1101	0.5040871934604905	1101.0	114.59999999999998
217	Spire Mangler	uncommon	196	187	383	0.5117493472584856	1021.3333333333333	114.13333333333331
208	Smelt-Ward Ignus	uncommon	163	138	301	0.5415282392026578	802.6666666666666	113.59999999999997
25	Bladebrand	common	606	626	1232	0.49188311688311687	1232.0	113.19999999999995
56	Debtors' Transport	common	409	331	740	0.5527027027027027	740.0	113.0
186	Savage Smash	common	516	492	1008	0.5119047619047619	1008.0	112.79999999999994
96	Gravel-Hide Goblin	common	474	433	907	0.5226019845644984	907.0	111.19999999999999
205	Skitter Eel	common	586	601	1187	0.493681550126369	1187.0	111.19999999999997
213	Sphinx of New Prahv	uncommon	242	259	501	0.48303393213572854	1336.0	110.9333333333333
108	Hackrobat	uncommon	213	217	430	0.49534883720930234	1146.6666666666665	109.33333333333331
235	Thought Collapse	common	502	480	982	0.5112016293279023	982.0	109.19999999999999
215	Sphinx's Insight	common	470	439	909	0.517051705170517	909.0	106.39999999999995
219	Steeple Creeper	common	551	570	1121	0.4915254237288136	1121.0	102.6
130	Light Up the Stage	uncommon	171	161	332	0.5150602409638554	885.3333333333333	101.8666666666666
230	Tenth District Veteran	common	458	435	893	0.5128779395296752	893.0	100.79999999999993
2	Aeromunculus	common	491	489	980	0.5010204081632653	980.0	98.99999999999999
90	Ghor-Clan Wrecker	common	466	453	919	0.5070729053318824	919.0	98.39999999999993
6	Applied Biomancy	common	425	401	826	0.5145278450363197	826.0	94.60000000000001
221	Stony Strength	common	403	368	771	0.522697795071336	771.0	94.60000000000001
98	Growth Spiral	common	482	488	970	0.49690721649484537	970.0	93.99999999999999
44	Clear the Stage	uncommon	185	190	375	0.49333333333333335	1000.0	93.33333333333333
104	Guardian Project	rare	116	145	261	0.4444444444444444	2088.0	92.7999999999999
133	Mammoth Spider	common	626	708	1334	0.46926536731634183	1334.0	92.39999999999998
27	Bloodmist Infiltrator	uncommon	174	175	349	0.498567335243553	930.6666666666666	91.7333333333333
45	Code of Constraint	uncommon	194	207	401	0.4837905236907731	1069.3333333333333	89.59999999999998
193	Senate Guildmage	uncommon	191	203	394	0.4847715736040609	1050.6666666666665	89.06666666666663
226	Swirling Torrent	uncommon	228	259	487	0.4681724845995893	1298.6666666666665	88.53333333333329
237	Tin Street Dodger	uncommon	164	163	327	0.5015290519877675	872.0	88.53333333333327
250	Wall of Lost Thoughts	uncommon	146	138	284	0.5140845070422535	757.3333333333333	86.39999999999996
255	Wrecking Beast	common	424	420	844	0.5023696682464455	844.0	86.39999999999995
30	Bring to Trial	common	372	345	717	0.5188284518828452	717.0	85.2
178	Rubble Slinger	common	403	392	795	0.5069182389937107	795.0	84.99999999999999
47	Combine Guildmage	uncommon	178	190	368	0.483695652173913	981.3333333333333	82.13333333333328
164	Rakdos Roustabout	common	485	530	1015	0.47783251231527096	1015.0	79.0
231	Territorial Boar	common	371	361	732	0.5068306010928961	732.0	78.19999999999995
109	Hallowed Fountain	rare	44	42	86	0.5116279069767442	688.0	76.8
26	Blood Crypt	rare	50	51	101	0.49504950495049505	808.0	76.79999999999998
132	Macabre Mockery	uncommon	214	249	463	0.46220302375809935	1234.6666666666665	76.79999999999997
